title,knowledge,source
Где можно найти типовые формы договоров о полной материальной ответственности?,"Типовые формы таких договоров утверждены приказом Минтруда России от 16.04.2025 № 251н, а также можно воспользоваться сервисом «Конструктор документов».",
Что такое штатное расписание и для чего оно необходимо?,"Штатное расписание — это документ, который регулирует внутренний распорядок и работу компании. Он необходим для соблюдения трудового законодательства и используется при проверках трудовой инспекции, ФНС и Социального фонда России.",
Какие данные должны быть включены в штатное расписание?,"В штатном расписании должны быть указаны название организации, её код по общероссийскому классификатору, номер и дата документа, количество штатных единиц, наименования структурных подразделений, должности сотрудников, фонд заработной платы и, при наличии, размер и условия начисления надбавок.",
Есть ли единый стандарт штатного расписания?,Единого образца штатного расписания нет. Организация может разработать собственное или воспользоваться унифицированной формой № Т-3.,
Кто может подписать штатное расписание?,"Штатное расписание может подписать главный бухгалтер, глава отдела кадров или руководитель предприятия, если других специалистов нет.",
Как утверждается штатное расписание?,Штатное расписание утверждается приказом компании.,
Действует ли штатное расписание бессрочно?,"Штатное расписание действует бессрочно, но при изменениях в штате, например, при его расширении или сокращении, документ необходимо переоформить.",
"Что делать, если в компании изменяется штат?","Если в компании происходит расширение или сокращение штата, штатное расписание нужно переоформить приказом об изменении или приказом об утверждении нового документа.",
Где можно найти унифицированную форму штатного расписания?,Унифицированную форму штатного расписания № Т-3 можно найти в сервисе Конструктор документов на МСП.РФ.,
Какие органы могут запросить штатное расписание?,"Штатное расписание могут запросить трудовая инспекция, ФНС России и Социальный фонд России.",
Какие последствия могут быть за отсутствие штатного расписания?,"Отсутствие штатного расписания может привести к штрафам со стороны трудовой инспекции, ФНС или Социального фонда России.",
Каков срок оформления трудового договора после принятия сотрудника на работу?,"Трудовой договор оформляется не позднее трех рабочих дней с момента, как сотрудник приступил к исполнению обязанностей.",
Где хранится второй экземпляр трудового договора?,Второй экземпляр трудового договора остается в отделе кадров.,
"Что происходит, если сотрудник работает без трудового договора?","Если сотрудник работает без трудового договора или документ оформлен неправильно, работодателю грозит штраф: до 10 000 руб. для индивидуальных предпринимателей и до 100 000 руб. – для юридических лиц.",
Какие организации обязаны иметь локальные акты?,Локальные акты обязательны для организаций с доходом более 120 млн руб. в год и штатом более 15 сотрудников.,
Какие документы регулируют локальные акты?,"Локальные акты регулируют правила внутреннего трудового распорядка, должностные инструкции, положения об оплате труда, охране труда и использование персональных данных сотрудников.",
Могут ли микропредприятия отказаться от локальных актов?,"Да, микропредприятия могут отказаться от локальных актов и перейти на упрощенный кадровый учет.",
Что обязательно должно быть оформлено для всех сотрудников микропредприятий?,Обязательное условие – заключение со всеми сотрудниками типовых трудовых договоров.,
Какие страховые взносы обязан платить работодатель?,"Работодатель обязан платить страховые взносы на пенсионное, обязательное медицинское и социальное страхование, а также на травматизм.",
Какой документ используется для отчетности по страховым взносам?,"Для отчетности по страховым взносам используется форма ЕФС-1, которая направляется в территориальные органы Социального фонда России.",
Где должен направляться расчет по страховым взносам?,Расчет по страховым взносам необходимо направлять в налоговую инспекцию.,
Что такое доверенность и зачем она нужна в бизнесе?,"Доверенность — это документ, который позволяет предоставить полномочия другому лицу (физическому или юридическому) представлять интересы предпринимателя в различных юридических и хозяйственных вопросах, например, подписывать документы, заключать контракты или совершать банковские операции.",
Какие виды доверенностей бывают?,"Доверенности делятся на три вида: разовая (на одно действие), специальная (с ограниченым кругом полномочий) и генеральная (с максимальными полномочиями).",
Кому можно оформить доверенность?,"Доверенность можно оформить на любое лицо — физическое или юридическое, которое будет представлять интересы предпринимателя в различных сферах, включая подписание документов, заключение контрактов и участие в судах.",
На что надо обратить внимание при оформлении доверенности?,"Доверенность должна содержать дату выдачи, сведения о представляемом и представителе, полномочия представителя, а также подпись представляемого или уполномоченного лица.",
Нужна ли печать на доверенности?,"Печать на доверенности нужна, если наличие печати предусмотрено уставом организацией.",
Можно ли оформить доверенность самостоятельно?,"Да, доверенность можно оформить самостоятельно в простой письменной форме, либо воспользоваться услугами нотариуса.",
В каких случаях обязательна нотариальная форма доверенности?,"Нотариальная форма обязательна, если это предусмотрено договором с контрагентом, если контрагент требует подтверждения полномочий, при безотзывной доверенности, при совершении сделок с имуществом, долями организации или при передоверии.",
Можно ли оформить доверенность в электронной форме?,"Да, доверенность может быть составлена в электронной форме и подписана усиленной квалифицированной электронной подписью.",
Как отменить доверенность?,"Доверенность можно отменить в той же форме, в которой она была выдана. Простую письменную доверенность можно отменить, известив в письменной форме представителя и третьих лиц, а нотариальную — обратившись к нотариусу.",
"Что происходит, если срок действия доверенности не указан?","Если срок действия доверенности не указан, по умолчанию она действует в течение одного года.",
Сколько календарных дней отпуска положено штатному сотруднику в год?,"Штатному сотруднику компании положено 28 календарных дней отпуска в год, отдельным категориям работников – отпуск большей продолжительности.",
Через какое время после приема на работу сотрудник получает право на оплачиваемый отпуск?,Право на оплачиваемый отпуск у работника появляется уже через шесть месяцев непрерывной работы у данного работодателя.,
"Какова максимальная продолжительность работы без отпуска, чтобы не привлечь организацию к ответственности?","Если сотрудник будет работать без отдыха более двух лет подряд, организации могут оштрафовать (до 5000 рублей – для индивидуальных предпринимателей, до 50 000 рублей – для юридических лиц).",
Какой документ обязательный для оформления отпусков?,"Обязательным документом для оформления отпусков является график отпусков, составляемый в соответствии со статьей 123 Трудового кодекса Российской Федерации.",
Какой минимальный срок одной части отпуска должен быть в графике?,"Одна из частей отпуска в графике должна быть не менее 14 календарных дней, как указано в статье 125 Трудового кодекса Российской Федерации.",
Когда необходимо составлять график отпусков?,"График отпусков должен быть составлен за две недели до начала следующего года, до 17 декабря текущего года.",
Каким образом следует оповестить сотрудника об отпуске?,"За две недели до отпуска оповестите сотрудника с помощью служебной записки, электронного письма или официального извещения в двух экземплярах.",
Через сколько дней до отпуска необходимо оплатить отпускные?,Отпускные должны быть оплачены за три дня до начала отпуска. В случае просрочки необходимо платить компенсацию из расчета 1/150 действующей ключевой ставки Банка России за каждый просроченный день.,
Какие налоги уплачиваются с отпускных?,"С отпускных, как и с любого дохода, уплачивается подоходный налог.",
Какие документы необходимо обновить после предоставления отпуска?,"После предоставления отпуска необходимо внести данные об отпуске в личную карточку сотрудника и в табель учета рабочего времени, а также обновить график отпусков. ",
Как происходит увольнение по собственному желанию работника?,"Работник сам пишет заявление на увольнение и отрабатывает 14 дней (согласованный срок может быть уменьшен). Работодатель издает приказ об увольнении, вносит запись в трудовую книжку, производит окончательный расчет в день увольнения и выдает трудовую книжку, справку о доходах и справку об уплаченных страховых взносах.",
Что включает в себя увольнение по соглашению сторон?,"Увольнение по соглашению сторон предполагает обоюдное решение сотрудника и работодателя. В соглашении прописываются условия увольнения, включая компенсацию. Один экземпляр соглашения остается в отделе кадров, другой — у работника. Порядок оформления аналогичен увольнению по инициативе работника, но в трудовую книжку вносится запись об увольнении по соглашению сторон.",
Как проходит увольнение по сокращению штата?,"При сокращении штата работодатель не может принять нового сотрудника на освободившуюся должность. Необходимо уточнить, не попадает ли сотрудник в категории, защищенные законом. Работодатель издает приказ о сокращении, уведомляет сотрудника за 2 месяца, информирует профсоюзы и службу занятости. После этого вносится запись в трудовую книжку, выдаются документы и производится окончательный расчет.",
Какие категории сотрудников имеют преимущественное право при сокращении штата?,"При сокращении штата преимущественное право остаться на работе имеют сотрудники с более высокой производительностью труда и квалификацией. Также предпочтение получают семейные работники, у которых есть на иждивении нетрудоспособные члены семьи, единственныe работники в семье, инвалиды Великой Отечественной войны и другие.",
Что происходит при увольнении по статье Трудового кодекса?,"Увольнение по статье происходит за дисциплинарные нарушения или грубые проступки. Работодатель может вынести дисциплинарное взыскание (выговор или замечание), а при повторных нарушениях — уволить сотрудника. В трудовую книжку вносится запись с указанием статьи Трудового кодекса. Окончательный расчет и выдача документов производятся в последний рабочий день.",
